NAMA,PAKET,HARGA,DESKRIPSI_FASILITAS,ALAMAT,KOTA,LATITUDE,LONGITUDE
Citra Wedding,Paket Gedung Teratai,IDR 78.000.000,"Buffet Utama Lezat 800 Porsi, 100 porsi VIP, Rias Cantik, Busana Mewah dan Aksesoris Indah untuk akad, resepsi mempelai pria dan wanita, Rias Busana Resepsi Untuk 4 Orang Tua, Rias Busana Untuk 8 Orang Among Tamu, Rias Busana Untuk 4 Orang Penerima Tamu, Hand Bouquet, Pelaminan Mewah Dan Indah Sampai Dengan 10 Meter, Kursi Pelaminan Nan Mewah,  Meja Dan Kursi Akad Yang di Dekor, 3 Vas Bunga Romantis Di Pelaminan, Taman Depan Pelaminan Nan Indah, Red Carpet, Dekorasi Photobooth Dengan Bunga-Bunga Yang Cantik,  Dekorasi Meja Buffet Mewah Standar Hotel Bintang Lima Dengan Bunga Nan Cantik, Dekorasi Meja Desert Dengan Bunga Nan Cantik, 2 Initial Huruf  pengantin, Dekorasi Untuk Organ Tunggal, 6  Standing Flower Dengan Bunga Hidup Nan Cantik, Pagar Dan Gate VIP Menjaga Privacy Keluarga Terdekat, Round Table Untuk VIP Dengan Standar Hotel Bintang Lima, Dekorasi Meja Buffet Mewah Dan Waiternya Untuk Di VIP Area, Pergola Di Pintu Masuk Utama, Pergola Dipintu Masuk VIP, 2 Kotak Tempat Souvenir, Colour Lighting, 2 Standing Foto Ukuran Besar, Gazebo Utama Di Pintu Masuk Ukuran 2,5M x 2,5M, Gazebo Buffet Ukuran 2M x 2M, 2 Meja Gallery Untuk Bingkai Foto, Bingkai-Bingkai Foto, 2 Meja Tamu, 2 Buah Kotak Angpau, Dokumentasi, Foto dan Video Shooting, 1 Album Kolase Eksklusif Uk. 20 X 30 10 Sheet (20 Hal), 1 Cetak Foto + Frame Uk. 40 X 50, 1 Box Exclusive Tempat Album, Mini Studio, 1 Flasdisk Isi File Foto & Video
g. Video Klip 1 Menit Untuk di Upload ke Sosial Media. Perlengkapan, 500 pcs Souvenir Utk Tamu, Lucu dan Kekinian, 2 Janur Yang Romantis + 2 Papan Nama Mempelai, 4 Buku Tamu Dengan Cover Mewah, MC, Keyboard + Keyboardis,Singer/Penyanyi,Sound System + Mic Untuk Akad Dan Resepsi,Soundman, Pengambilan Makanan Dilayani Oleh Waiter,  Dipinjamkan 1 Unit Thermo Gun, Free Hand Sanitizer, Stiker Warna Penanda Per Sesi Jam Acara, Bonus, Undangan Online/Website, Rundown Acara, Makanan Setelah Akad (Nasi Bakar/Snack Box/Lontong Sayur 75 Porsi), 15 Nasi Box Untuk Orang Kebersihan dan Keamanan Gedung,Uang Tip Untuk Orang Kebersihan dan Keamanan Gedung, Karpet Jalan Gold, Mobil Pengantin BMW Seri 3 E46
","Moropelang, Babat, Lamongan Regency, East Java 62273",Lamongan,-7.096142,112.247215
Citra Wedding,Paket Gedung Lavender,IDR 80.000.000,"Buffet Utama Lezat 1000 Porsi, 150 porsi VIP, Rias Cantik, Busana Mewah dan Aksesoris Indah untuk akad, resepsi mempelai pria dan wanita, Rias Busana Resepsi Untuk 4 Orang Tua, Rias Busana Untuk 8 Orang Among Tamu, Rias Busana Untuk 4 Orang Penerima Tamu, Hand Bouquet, Pelaminan Mewah Dan Indah Sampai Dengan 10 Meter, Kursi Pelaminan Nan Mewah,  Meja Dan Kursi Akad Yang di Dekor, 3 Vas Bunga Romantis Di Pelaminan, Taman Depan Pelaminan Nan Indah, Red Carpet, Dekorasi Photobooth Dengan Bunga-Bunga Yang Cantik,  Dekorasi Meja Buffet Mewah Standar Hotel Bintang Lima Dengan Bunga Nan Cantik, Dekorasi Meja Desert Dengan Bunga Nan Cantik, 2 Initial Huruf  pengantin, Dekorasi Untuk Organ Tunggal, 6  Standing Flower Dengan Bunga Hidup Nan Cantik, Pagar Dan Gate VIP Menjaga Privacy Keluarga Terdekat, Round Table Untuk VIP Dengan Standar Hotel Bintang Lima, Dekorasi Meja Buffet Mewah Dan Waiternya Untuk Di VIP Area, Pergola Di Pintu Masuk Utama, Pergola Dipintu Masuk VIP, 2 Kotak Tempat Souvenir, Colour Lighting, 2 Standing Foto Ukuran Besar, Gazebo Utama Di Pintu Masuk Ukuran 2,5M x 2,5M, Gazebo Buffet Ukuran 2M x 2M, 2 Meja Gallery Untuk Bingkai Foto, Bingkai-Bingkai Foto, 2 Meja Tamu, 2 Buah Kotak Angpau, Dokumentasi, Foto dan Video Shooting, 1 Album Kolase Eksklusif Uk. 20 X 30 10 Sheet (20 Hal), 1 Cetak Foto + Frame Uk. 40 X 50, 1 Box Exclusive Tempat Album, Mini Studio, 1 Flasdisk Isi File Foto & Video
g. Video Klip 1 Menit Untuk di Upload ke Sosial Media. Perlengkapan, 500 pcs Souvenir Utk Tamu, Lucu dan Kekinian, 2 Janur Yang Romantis + 2 Papan Nama Mempelai, 4 Buku Tamu Dengan Cover Mewah, MC, Keyboard + Keyboardis,Singer/Penyanyi,Sound System + Mic Untuk Akad Dan Resepsi,Soundman, Pengambilan Makanan Dilayani Oleh Waiter,  Dipinjamkan 1 Unit Thermo Gun, Free Hand Sanitizer, Stiker Warna Penanda Per Sesi Jam Acara, Bonus, Undangan Online/Website, Rundown Acara, Makanan Setelah Akad (Nasi Bakar/Snack Box/Lontong Sayur 100 Porsi), 15 Nasi Box Untuk Orang Kebersihan dan Keamanan Gedung,Uang Tip Untuk Orang Kebersihan dan Keamanan Gedung, Karpet Jalan Gold, Mobil Pengantin BMW Seri 3 E46
","Moropelang, Babat, Lamongan Regency, East Java 62274",Lamongan,-7.096142,112.247215
Alesha Wedding,Paket Murce 1,IDR 4.750.000,"Rias Akad Nikah, Melati Asli, Poto digital wedding 1 roll, Rias & Busana Pengantin 3 Pasang, Kwade 7-10 Meter bunga semi, MC, Photodigital 2 Roll, Melati Asli, Make up dan busana 4 Terima tamu, Ibu Hajat & Ibu besan, Bapak Hajat dan Bapak Besan, ","Jl. Made Karyo, Gg.3 Perumnas No.73, Mademadya, Made, Kec. Lamongan, Kab. Lamongan, Jawa Timur 62218",Lamongan,-7.125063,112.39149
Alesha Wedding,Paket Murce 2,IDR 5.500.000,"Rias Akad Nikah, Melati Asli, Poto digital wedding 1 roll, Rias & Busana Pengantin 3 Pasang, Kwade 10 Meter bunga semi, MC, Photodigital 2 Roll, Melati Asli, Make up dan busana 4 Terima tamu, Ibu Hajat & Ibu besan, Bapak Hajat dan Bapak Besan, Pundi Uang 1","Jl. Made Karyo, Gg.3 Perumnas No.73, Mademadya, Made, Kec. Lamongan, Kab. Lamongan, Jawa Timur 62219",Lamongan,-7.125063,112.39149
Alesha Wedding,Paket Murce 3,IDR 7.500.000,"Rias Akad Nikah, Melati Asli, Poto digital wedding 1 roll, Rias & Busana Pengantin 4 Pasang, Kwade 10 Meter bunga semi, MC, Photodigital 2 Roll, Melati Asli, Make up dan busana 4 Terima tamu, Ibu Hajat & Ibu besan, Bapak Hajat dan Bapak Besan, Pundi Uang 2","Jl. Made Karyo, Gg.3 Perumnas No.73, Mademadya, Made, Kec. Lamongan, Kab. Lamongan, Jawa Timur 62220",Lamongan,-7.125063,112.39149
Putri Kirana Wedding,Paket RA 1,IDR 21.000.000,"Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Dekorasi Pelaminan + bunga, Taman depan kwade, Pregolan, Dekorasi Buffet Minimalis, Dekorasi dessert minimalis, Janur kembang mayang 2 , Pundi uang 2 unit, Buku tamu dan Bolpoin 2, Kipas Blower 2pcs, Dokumentasi Photo cetak 2 roll, Photo cetak 1 ukuran 10R, Album colase 22 Halaman","Jl. Karangrejo VI No.26f, Wonokromo, Kec. Wonokromo, Kota SBY, Jawa Timur 60243",Surabaya,-7.293382,112.725384
Putri Kirana Wedding,Paket RA 2,IDR 34.000.000,"Catering porsi 300 Orang, Dekorasi Catering (Es carving 2 huruf + es tray, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 4 buah,Bunga dimeja penerima tamu, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang,Pagar ayu + pagar bagus 6 orang, Pelaminan adat / modifikasi,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol, 
buku tamu + spidol, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Buffe keluarga pengantin 50 porsi, Cd liputan 1 keping, Video transfer ke DVD,  Foto studio mini di tempat acara, flashdisk semua isi file foto dan video","Jl. Karangrejo VI No.26f, Wonokromo, Kec. Wonokromo, Kota SBY, Jawa Timur 60244",Surabaya,-7.293382,112.725384
Putri Kirana Wedding,Paket GA 1,IDR 52.000.000,"Catering porsi 900 Orang, Menu gubukan,  Janur + umbul-umbul jalan,Pergola jalan,Standing flower 4 buah,Taman depan pelaminan, Wedding welcome sign, Gazebo jalan + bunga, Bunga dimeja penerima tamu, Dekorasi buffet, Dekorasi Dessert, Dekorasi Penerima Tamu, Dekorasi Area VIP, Hand bouquet, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang,Pagar ayu + pagar bagus 6 orang, Pelaminan + bunga, Panggung + karpet jalan, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol, 
buku tamu + spidol, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Buffe keluarga pengantin 50 porsi, Cd liputan 1 keping, Video transfer ke DVD,  Foto studio mini di tempat acara, flashdisk semua isi file foto dan video, Souvenir 100 pcs, Buku tamu, Masker 100 pcs, Hand Sanitizer + Termo Gun","Jl. Karangrejo VI No.26f, Wonokromo, Kec. Wonokromo, Kota SBY, Jawa Timur 60245",Surabaya,-7.293382,112.725384
Putri Kirana Wedding,Paket GA 2,IDR 55.000.000,"Catering porsi 1000 Orang, Menu gubukan,  Janur + umbul-umbul jalan,Pergola jalan,Standing flower 4 buah,Taman depan pelaminan, Wedding welcome sign, Gazebo jalan + bunga, Bunga dimeja penerima tamu, Dekorasi buffet, Dekorasi Dessert, Dekorasi Penerima Tamu, Dekorasi Area VIP, Hand bouquet, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang,Pagar ayu + pagar bagus 6 orang, Pelaminan + bunga, Panggung + karpet jalan, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol, 
buku tamu + spidol, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Buffe keluarga pengantin 50 porsi, Cd liputan 1 keping, Video transfer ke DVD,  Foto studio mini di tempat acara, flashdisk semua isi file foto dan video, Souvenir 100 pcs, Buku tamu, Masker 100 pcs, Hand Sanitizer + Termo Gun, Free Internet selama acara","Jl. Karangrejo VI No.26f, Wonokromo, Kec. Wonokromo, Kota SBY, Jawa Timur 60246",Surabaya,-7.293382,112.725384
Juwita Wedding,Paket Volume 1,IDR 35.000.000,"Catering porsi 300 Orang, Dekorasi Catering, Hotel Cassa, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 4 buah,Bunga dimeja penerima tamu, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, ,Penerima tamu 4 orang,Pagar ayu + pagar bagus 6 orang, Pelaminan adat modifikasi 7 M,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol, 
buku tamu + spidol, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Buffe keluarga pengantin 50 porsi, Cd liputan 1 keping, Video transfer ke DVD,  Foto studio mini di tempat acara, flashdisk semua isi file foto dan video","Jl. Rungkut Mejoyo Selatan V No.19, Kali Rungkut, Kec. Rungkut, Kota SBY, Jawa Timur 60293",Surabaya,-7.322999,112.762625
Juwita Wedding,Paket Volume 2,IDR 37.000.000,"Catering porsi 600 Orang, Dekorasi Catering, Hotel Pasific, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 4 buah,Bunga dimeja penerima tamu, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, ,Penerima tamu 4 orang, Pagar ayu + pagar bagus 6 orang, Keluarga 2 pasang, Pelaminan modifikasi 12 M,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol 2, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Band, Sound System, Buffet keluarga pengantin 80 porsi, Dekor photobooth, Video transfer ke DVD, Album Magnetik, Foto studio mini di tempat acara, Video Cinematic, flashdisk semua isi file foto dan video, Digital Invitation, Room 1 Night for 1, Mobil Pengantin Mercedes Benz C-Class W203","Jl. Rungkut Mejoyo Selatan V No.19, Kali Rungkut, Kec. Rungkut, Kota SBY, Jawa Timur 60294",Surabaya,-7.322999,112.762625
Juwita Wedding,Paket Volume 3,IDR 52.000.000,"Catering porsi 1000 Orang, Dekorasi Catering, Hotel Quds, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 6 buah,Bunga dimeja penerima tamu, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, ,Penerima tamu 4 orang, Pagar ayu + pagar bagus 6 orang, Keluarga 4 pasang, Pelaminan modifikasi 12 M,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol 4, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Band, Sound System, Buffet keluarga pengantin 80 porsi, Dekor photobooth, Video transfer ke DVD, Album Magnetik, Foto studio mini di tempat acara, Video Cinematic, flashdisk semua isi file foto dan video, Digital Invitation, Room 1 Night for 1, Mobil Pengantin Mercedes Benz C-Class W203","Jl. Rungkut Mejoyo Selatan V No.19, Kali Rungkut, Kec. Rungkut, Kota SBY, Jawa Timur 60295",Surabaya,-7.322999,112.762625
Juwita Wedding,Paket Volume 4,IDR 80.000.000,"Catering porsi 1500 Orang, Dekorasi Catering, Hotel Cassa, Janur + umbul-umbul jalan,Pergola jalan,Standing flower 6 buah,Bunga dimeja penerima tamu, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, ,Penerima tamu 4 orang, Pagar ayu + pagar bagus 6 orang, Keluarga 4 pasang, Pelaminan modifikasi 12 M,Panggung + karpet jalan,Taman Miniatur, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol, 2, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Band, Sound System, Buffe keluarga pengantin 80 porsi, Dekor photobooth, Cd liputan 1 keping, Video transfer ke DVD, Album Magnetik, Foto studio mini di tempat acara, Video Cinematic, flashdisk semua isi file foto dan video, Digital Invitation, Room 1 Night for 1, Mobil Pengantin Mercedes Benz C-Class W203","Jl. Rungkut Mejoyo Selatan V No.19, Kali Rungkut, Kec. Rungkut, Kota SBY, Jawa Timur 60296",Surabaya,-7.322999,112.762625
Channel Wedding,Paket Gold,IDR 57.500.000,"Catering porsi 1500 Orang, Menu gubukan,  Janur + umbul-umbul jalan,Pergola jalan,Standing flower 4 buah,Taman depan pelaminan, Wedding welcome sign, Gazebo jalan + bunga, Bunga dimeja penerima tamu, Dekorasi buffet, Dekorasi Dessert, Dekorasi Penerima Tamu, Dekorasi Area VIP, Hand bouquet, Busana dan rias akad, resepsi Pengantin 2 kali ganti,Pendamping orang tua 2 pasang, Pengapit / pasundan 4 orang,Penerima tamu 4 orang,Pagar ayu + pagar bagus 6 orang, Pelaminan + bunga, Panggung + karpet jalan, Bunga Pelaminan, Kipas Blower 2 pcs, Foto 1 album ekslusif ( digital ), Video shuting 2 x acara ditempat yang sama, buku tamu + spidol, 
buku tamu + spidol, Meja penerima tamu 2 buah, Kotak ampaou 2 buah, Mc untuk acara resepsi, Buffe keluarga pengantin 50 porsi, Cd liputan 1 keping, Video transfer ke DVD,  Foto studio mini di tempat acara, flashdisk semua isi file foto dan video, Souvenir 100 pcs, Buku tamu, Masker 100 pcs, Hand Sanitizer + Termo Gun, Free Internet selama acara","Jl. Jojoran I No.126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60285",Surabaya,-7.273339,112.768823
Channel Wedding,Paket Silver,IDR 48.500.000,"Catering 500 pax, Rias & Tata Busana Pengantin Akad dan Resepsi,  Rias dan Busana orang tua 2 pasang , Rias dan Busana 4 orang penerima tamu, Rias dan Busana keluarga 2 orang,Pelaminan minimalis modern, Kursi Pengantin 1 Set, Karpet di pelaminan, Mini Garden, Bunga segar untuk di pelaminan, Rangkaian Bunga di Meja Terima Tamu 2 bh, Standing Flower di pelaminan, Lighting di Pelaminan, Bunga Segar di Meja Prasmanan, Dekorasi kamar pengantin, Standing Flower di jalan, Pargola 1 Set + bunga segar, Janur 2 bh + Nama,Karpet Jalan, Album Photo Eksklusif 10 Sheet, CD Album Akad & Resepsi, Mini Studio, Peralatan, Tenda Dekor 100M2, Kursi Futura 100 bh, Meja tamu 2 buah, Buku tamu 2 buah, Tempat angpau 2 buah,Souvenir 50 pcs, Cooling Fan (Blower) 1 bh, Standing Frame 2bh, MC Akad dan Resepsi, Bonus Foto Ukuran 17 R + Bingkai Cantik, Organ tunggal","Jl. Jojoran I No.126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60286",Surabaya,-7.273339,112.768823
Channel Wedding,Paket Green,IDR 45.500.000,"Catering 450 pax, Rias & Tata Busana Pengantin Akad dan Resepsi,  Rias dan Busana orang tua 2 pasang , Rias dan Busana 4 orang penerima tamu, Rias dan Busana keluarga 2 orang,Pelaminan minimalis modern, Kursi Pengantin 1 Set, Karpet di pelaminan, Mini Garden, Bunga segar untuk di pelaminan, Rangkaian Bunga di Meja Terima Tamu 2 bh, Standing Flower di pelaminan, Lighting di Pelaminan, Bunga Segar di Meja Prasmanan, Dekorasi kamar pengantin, Standing Flower di jalan, Pargola 1 Set + bunga segar, Janur 2 bh + Nama,Karpet Jalan, Album Photo Eksklusif 10 Sheet, CD Album Akad & Resepsi, Mini Studio, Peralatan, Tenda Dekor 100M2, Kursi Futura 100 bh, Meja tamu 2 buah, Buku tamu 2 buah, Tempat angpau 2 buah,Souvenir 40 pcs, Cooling Fan (Blower) 1 bh, Standing Frame 2bh, MC Akad dan Resepsi, Bonus Foto Ukuran 17 R + Bingkai Cantik, Organ tunggal","Jl. Jojoran I No.126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60287",Surabaya,-7.273339,112.768823
Channel Wedding,Paket Yellow,IDR 42.500.000,"Catering 450 pax, Rias & Tata Busana Pengantin Akad dan Resepsi,  Rias dan Busana orang tua 2 pasang , Rias dan Busana 4 orang penerima tamu, Rias dan Busana keluarga 2 orang,Pelaminan minimalis modern, Kursi Pengantin 1 Set, Karpet di pelaminan, Mini Garden, Bunga segar untuk di pelaminan, Rangkaian Bunga di Meja Terima Tamu 2 bh, Standing Flower di pelaminan, Lighting di Pelaminan, Bunga Segar di Meja Prasmanan, Dekorasi kamar pengantin, Standing Flower di jalan, Pargola 1 Set + bunga segar, Janur 1 bh + Nama,Karpet Jalan, Album Photo Eksklusif 10 Sheet, CD Album Akad & Resepsi, Mini Studio, Peralatan, Tenda Dekor 100M2, Kursi Futura 90 bh, Meja tamu 2 buah, Buku tamu 2 buah, Tempat angpau 2 buah,Souvenir 40 pcs, Cooling Fan (Blower) 1 bh, Standing Frame 2bh, MC Akad dan Resepsi, Bonus Foto Ukuran 17 R + Bingkai Cantik, Organ tunggal","Jl. Jojoran I No.126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60288",Surabaya,-7.273339,112.768823
Citra Keraton Wedding,Paket Rumah Anturium,IDR 11.000.000,"3 Buah Terop Slayer ukyran 4x6, Kuade Bunga Campur 4-6 Meter (30%, 70% palsu),Taman Mini,  Karpet + Bunga asli,Pelengkung Pintu Masuk / Pregola,Karpet Jalan,2 Unit Mayang dan Gapura Bunga,Standing Bunga Jalan,Janur Pintu Masuk,2 Tumbang (Tempat Uang), Buku Tamu & Boolpoint,   Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak Ibu dan Besan, MC (Temu Manten - Resepsi),   Cetak 100 Lembar","Jl. Sidotopo Jaya 7 No.21, Sidotopo, Kec. Semampir, Kota SBY, Jawa Timur 60152",Surabaya,-7.22959,112.7556
Citra Keraton Wedding,Paket Rumah Antariksa,IDR 16.700.000,"3 Buah Terop Slayer ukyran 4x6, Kuade Bunga Campur 4-6 Meter (40%, 60% palsu),Taman Mini,  Karpet + Bunga asli,Pelengkung Pintu Masuk / Pregola,Karpet Jalan,2 Unit Mayang dan Gapura Bunga,Standing Bunga Jalan,Janur Pintu Masuk,2 Tumbang (Tempat Uang), Buku Tamu & Boolpoint,   Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak Ibu dan Besan, Rias dan baju Keluarga 2 orang, MC (Temu Manten - Resepsi),   Cetak 100 Lembar, Sound System","Jl. Sidotopo Jaya 7 No.21, Sidotopo, Kec. Semampir, Kota SBY, Jawa Timur 60153",Surabaya,-7.22959,112.7556
Citra Keraton Wedding,Paket Rumah Artikula,IDR 23.000.000,"3 Buah Terop Slayer ukyran 4x6, Kuade Bunga Campur 4-6 Meter (40%, 60% palsu),Taman Mini,  Karpet + Bunga asli,Pelengkung Pintu Masuk / Pregola,Karpet Jalan,2 Unit Mayang dan Gapura Bunga,Standing Bunga Jalan,Janur Pintu Masuk,2 Tumbang (Tempat Uang), Buku Tamu & Boolpoint,  Blower 2 buah, Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak Ibu dan Besan, Rias dan baju Keluarga 2 orang, MC (Temu Manten - Resepsi),   Cetak 100 Lembar, Sound System, Electone","Jl. Sidotopo Jaya 7 No.21, Sidotopo, Kec. Semampir, Kota SBY, Jawa Timur 60154",Surabaya,-7.22959,112.7556
Galaxi Weding,Paket Azalea,IDR 10.000.000,"Dekorasi Pelaminan 3 Meter, 3 Buah Terop Slayer, Standing Flower Pelaminan,Standing Jalan 2 Pasang,Karpet Jalan 15m,Kotak Ampau ,Janur 1 Buah,Pergola,2 Bunga segar di Meja Tamu,Busana & Rias Akad Nikah Pengantin ,Busana & Rias Resepsi Pengantin,Rias Ibu Hajat & Ibu Besan,Busana & Rias Bapak Hajat & Besan,Busana & Rias Terima Tamu 2  Wanita,Busana Terima,Tamu 2 Laki-Laki, Cetak foto 2 roll","Jl. Jojoran I No.124-126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60285",Surabaya,-7.273306,112.76886
Galaxi Weding,Paket Peony,IDR 12.000.000,"Dekorasi Pelaminan 3 Meter, 3 Buah Terop Slayer, Standing Flower Pelaminan,Standing Jalan 2 Pasang,Karpet Jalan 15m,Kotak Ampau ,Janur 1 Buah,Pergola,2 Bunga segar di Meja Tamu,Busana & Rias Akad Nikah Pengantin ,Busana & Rias Resepsi Pengantin,Rias Ibu Hajat & Ibu Besan,Busana & Rias Bapak Hajat & Besan,Busana & Rias Terima Tamu 2  Wanita,Busana Terima,Tamu 2 Laki-Laki, Rias & busana keluarga 2 orang, Kipas Blower 1 , Cetak foto 2 roll, Buku tamu + Bolppoin 2 buah","Jl. Jojoran I No.124-126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60286",Surabaya,-7.273306,112.76886
Galaxi Weding,Paket Amarilis,IDR 19.000.000,"Dekorasi Pelaminan 4 Meter, 3 Buah Terop Slayer, Standing Flower Pelaminan,Standing Jalan 2 Pasang,Karpet Jalan 15m,Kotak Ampau ,Janur 1 Buah,Pergola,2 Bunga segar di Meja Tamu,Busana & Rias Akad Nikah Pengantin ,Busana & Rias Resepsi Pengantin,Rias Ibu Hajat & Ibu Besan,Busana & Rias Bapak Hajat & Besan,Busana & Rias Terima Tamu 2  Wanita,Busana Terima,Tamu 2 Laki-Laki, Rias & busana keluarga 2 orang, Kipas Blower 1 , Cetak foto 2 roll,  Shooting Video (DVD), Buku tamu + Bolpoin 2 buah","Jl. Jojoran I No.124-126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60287",Surabaya,-7.273306,112.76886
Galaxi Weding,Paket Amorea,IDR 20.000.000,"Dekorasi Kuade 4 Meter bunga segar, Karpet Jalan, Pergola, Handbucket, Pundi uang 1, Penjor, Meja Akad Nikah, Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Cetak foto 2 roll,  Shooting Video (DVD)","Jl. Jojoran I No.124-126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60288",Surabaya,-7.273306,112.76886
Galaxi Weding,Paket Amorea 2,IDR 21.000.000,"Dekorasi Kuade 6 Meter bunga segar, Karpet Jalan, Pergola, Handbucket, Pundi uang 1, Penjor, Meja Akad Nikah, Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Cetak foto 2 roll,  Shooting Video (DVD)","Jl. Jojoran I No.124-126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60289",Surabaya,-7.273306,112.76886
Galaxi Weding,Paket Amorea 3,IDR 25.000.000,"Dekorasi Kuade 10 Meter bunga segar, Karpet Jalan, Pergola, Gate, Handbucket, Pundi uang 1, Penjor, Pagar Jalan, Meja Akad Nikah, Handbuket, Rias dan Busana Pengantin wanita untuk akad dan temu manten, Rias dan Beskap pengantin Pria untuk akad dan temu manten, Rias dan kebaya Pengantin untuk resepsi 2 pasang, Rias dan busana Ibu Hajat dan Ibu Besan, Rias dan Beskap untuk Bapak Hajat dan Bapak Besan,Rias dan Busana Kembang Mayang 4 Orang, Rias dan Busana Penjaga Buku Tamu, Cetak foto 4 roll,  Shooting Video (DVD)","Jl. Jojoran I No.124-126, Mojo, Kec. Gubeng, Kota SBY, Jawa Timur 60290",Surabaya,-7.273306,112.76886
